#data = [currenthalo, BH['iord'][i], gettime(s),getz(s), BH['mass'][i], BH['r'][i], starmass, gasmass, virialmass]
3, 89422247, 1.2972938979674051, 4.812711810726945, 336366.94554695091, 0.4485558963330854, 1138640.5579196694, 162315538.7201281, 1279704016.5352855
11, 89422741, 1.2972938979674051, 4.812711810726945, 50903.339772478961, 0.0039847290391087425, 530170.4170938717, 25023727.456454232, 447342272.09843284
16, 89425759, 1.2972938979674051, 4.812711810726945, 162175.25260209254, 0.00059566912342089195, 214593.76486684533, 1879917.370326283, 278650845.1920628
5, 89422247, 1.6255656432695071, 3.9960574320227122, 336955.23621313227, 0.31127265899532003, 2167152.595867333, 178514256.35670662, 1419316749.1472137
10, 89422741, 1.6255656432695071, 3.9960574320227122, 51503.367560351566, 0.007021447416006096, 540721.2515175404, 35086753.434914656, 574899004.5012753
17, 89425759, 1.6255656432695071, 3.9960574320227122, 162175.65332321549, 0.0012596014588015186, 213575.4259892668, 477248.17658835906, 270599681.2290823
4, 89422247, 1.7260569938707229, 3.798502642483312, 337089.39764509618, 0.46194373441586767, 2616686.433597589, 180533905.45553443, 1451439804.8973842
10, 89422741, 1.7260569938707229, 3.798502642483312, 51544.449489876468, 0.0019031910512261579, 546726.5668051518, 38194241.054502614, 616691751.5755594
23, 89425759, 1.7260569938707229, 3.798502642483312, 162175.79758281974, 0.0011981401874776841, 213326.04014119427, 331866.3331609243, 209527730.4521626
7, 89422247, 2.1548200897689984, 3.1314752809395037, 338824.48804978258, 0.26047304341191541, 3658777.818812666, 130162989.15425614, 1517935596.8627014
11, 89422741, 2.1548200897689984, 3.1314752809395037, 51724.645764444911, 0.0082602316365171808, 604555.4413269891, 33033268.864520356, 736405302.4771433
67, 89425759, 2.1548200897689984, 3.1314752809395037, 162181.00695741811, 0.00013080452876489013, 212471.06806498495, 0.0, 98166166.84456608
7, 89422247, 2.262010863743585, 2.9979038045544586, 339227.19674950308, 0.24424956642810372, 3631295.0890309615, 112234894.24043705, 1539598445.8802342
11, 89422741, 2.262010863743585, 2.9979038045544586, 51769.895193648495, 0.0043146177199561327, 600230.8303854195, 26852422.365979604, 753466316.4798592
121, 89425759, 2.262010863743585, 2.9979038045544586, 162181.58399583516, 0.00058549386963414852, 212019.8742069121, 0.0, 50021467.5157597
7, 89422247, 2.583583185669741, 2.6528623001835006, 340517.32641926513, 0.40830613693999102, 3814084.5945008257, 76528152.94254744, 1610913694.4315572
13, 89422741, 2.583583185669741, 2.6528623001835006, 51994.427253260197, 0.010668035826075995, 591952.7995464904, 14577588.255320968, 776372200.3119273
465, 89425759, 2.583583185669741, 2.6528623001835006, 162199.72864828235, 0.00075716462318419072, 211303.00694027366, 0.0, 10642112.716310648
2, 89425759, 3.012346281572668, 2.289125928489568, 162211.94262810989, 2.0511570442461, 9668713.600294229, 299009188.38672614, 4304563906.813385
